workDate,itemID,duration,rateApplied,payout,payType,projectName,status
6-Jul-25,686ac5cc2649a42eb4bd301b,24m 23s,$22.00/hr,$8.94 ,prepay,Minister Bath,pending
6-Jul-25,686aba2f5485ebc243fdadca,24m 20s,$22.00/hr,$8.93 ,prepay,Minister Bath,pending
6-Jul-25,686aaa5b261d04ba4dcd2c7e,24m 14s,$22.00/hr,$8.89 ,prepay,Minister Bath,pending
6-Jul-25,686aaa59c72cceb07fad05e1,24m 21s,$22.00/hr,$8.93 ,prepay,Minister Bath,pending
6-Jul-25,686855d35bd87c6206cd3489,24m 41s,$22.00/hr,$9.06 ,prepay,Minister Bath,pending
6-Jul-25,686aa3cdcc83cdf4ef844b66,24m 12s,$22.00/hr,$8.88 ,prepay,Minister Bath,pending
6-Jul-25,686a9b3f5e527abe1aae3646,24m 11s,$22.00/hr,$8.87 ,prepay,Minister Bath,pending
6-Jul-25,686a57ece74345f8c2ce7d17,24m 10s,$22.00/hr,$8.86 ,prepay,Minister Bath,pending
6-Jul-25,686a291526be67dde2ac4b6c,24m 16s,$22.00/hr,$8.90 ,prepay,Minister Bath,pending
6-Jul-25,686a23f0f5cc2e5d6e34bb48,24m 54s,$22.00/hr,$9.14 ,prepay,Minister Bath,pending
6-Jul-25,686a1e05fb1223052ee2623b,24m 38s,$22.00/hr,$9.03 ,prepay,Minister Bath,pending
6-Jul-25,686a1752f5cc2e5d6e349146,24m 27s,$22.00/hr,$8.97 ,prepay,Minister Bath,pending
6-Jul-25,686a128d8a254358997f556d,24m 31s,$22.00/hr,$8.99 ,prepay,Minister Bath,pending
5-Jul-25,68696d7db9afcd5f4f0cc531,24m 20s,$22.00/hr,$8.93 ,prepay,Minister Bath,pending
5-Jul-25,68696c1ceca77b9e8aa514e5,24m 14s,$22.00/hr,$8.89 ,prepay,Minister Bath,pending
5-Jul-25,6869418e2e30ad2a6b0a9e1e,24m 45s,$22.00/hr,$9.08 ,prepay,Minister Bath,pending
5-Jul-25,686937f5ae657c7d0208fb4a,24m 24s,$22.00/hr,$8.95 ,prepay,Minister Bath,pending
5-Jul-25,686931579a6bf25af4e0a471,24m 58s,$22.00/hr,$9.16 ,prepay,Minister Bath,pending
5-Jul-25,68692b5fe414be392a4f85e2,24m 22s,$22.00/hr,$8.94 ,prepay,Minister Bath,pending
5-Jul-25,68690fa53272c77f8d6a9291,24m 8s,$22.00/hr,$8.85 ,prepay,Minister Bath,pending
5-Jul-25,6868f5fe265698fdb04da2cc,24m 56s,$22.00/hr,$9.15 ,prepay,Minister Bath,pending
5-Jul-25,6868f6079884fe58fdc36973,11s,$6.60/hr,$0.02 ,overtimePay,Minister Bath,pending
5-Jul-25,6868f6079884fe58fdc36973,25m ,$22.00/hr,$9.17 ,prepay,Minister Bath,pending
5-Jul-25,6868f03155d9ac72fcbb6445,24m 6s,$22.00/hr,$8.84 ,prepay,Minister Bath,pending
5-Jul-25,6868e6e2fdc25b75b70e53fa,24m 15s,$22.00/hr,$8.89 ,prepay,Minister Bath,pending
5-Jul-25,6868e3fb201e5563c7ea56d1,24m 9s,$22.00/hr,$8.86 ,prepay,Minister Bath,pending
5-Jul-25,6868a984fdc25b75b70c7e96,1m 23s,$6.60/hr,$0.15 ,overtimePay,Minister Bath,pending
5-Jul-25,6868a984fdc25b75b70c7e96,25m ,$22.00/hr,$9.17 ,prepay,Minister Bath,pending
5-Jul-25,6868c6e6815e4ef41710588d,24m 5s,$22.00/hr,$8.83 ,prepay,Minister Bath,pending
5-Jul-25,6868cce4d05652721259be46,24m 17s,$22.00/hr,$8.91 ,prepay,Minister Bath,pending
5-Jul-25,686861f26a1d828cfb9f50e8,24m 40s,$22.00/hr,$9.05 ,prepay,Minister Bath,pending
4-Jul-25,68673adb11067a8031c639af,24m 29s,$22.00/hr,$8.98 ,prepay,Minister Bath,pending
4-Jul-25,68673ade4daf13133cd0f397,8m 56s,$22.00/hr,$3.28 ,prepay,Minister Bath,pending
4-Jul-25,68673adb1ab959e7fea2448a,24m 24s,$22.00/hr,$8.95 ,prepay,Minister Bath,pending
4-Jul-25,68673ad11ab959e7fea241ba,24m 17s,$22.00/hr,$8.91 ,prepay,Minister Bath,pending
4-Jul-25,68673adff5af2469e3349f60,18m 25s,$22.00/hr,$6.76 ,prepay,Minister Bath,pending
4-Jul-25,68673ad9b18aaa756202c662,15m 5s,$22.00/hr,$5.53 ,prepay,Minister Bath,pending
4-Jul-25,68673ad30d26a258bbfe630e,9m 28s,$22.00/hr,$3.48 ,prepay,Minister Bath,pending
4-Jul-25,68673ad39b764f1e888f63d9,24m 12s,$22.00/hr,$8.87 ,prepay,Minister Bath,pending
4-Jul-25,68673ae4b22e77178cbef7ea,24m 24s,$22.00/hr,$8.95 ,prepay,Minister Bath,pending
4-Jul-25,68673ad14daf13133cd0efc5,8m 4s,$22.00/hr,$2.96 ,prepay,Minister Bath,pending
4-Jul-25,68673ae23956c8f906776023,24m 20s,$22.00/hr,$8.92 ,prepay,Minister Bath,pending
4-Jul-25,68673ae5a19f323e362c07da,8m 5s,$22.00/hr,$2.97 ,prepay,Minister Bath,pending
4-Jul-25,68673acf8f92245334dc1095,13m 28s,$22.00/hr,$4.94 ,prepay,Minister Bath,pending
4-Jul-25,68673aeb6fb33856806fd3f3,24m 13s,$22.00/hr,$8.88 ,prepay,Minister Bath,pending
4-Jul-25,68673aed4daf13133cd0fafb,8m 5s,$22.00/hr,$2.97 ,prepay,Minister Bath,pending
4-Jul-25,68673abfb3a59f3852d1d120,24m 12s,$22.00/hr,$8.88 ,prepay,Minister Bath,pending
4-Jul-25,68673aceb22e77178cbef013,24m 38s,$22.00/hr,$9.03 ,prepay,Minister Bath,pending
4-Jul-25,68673abe8f92245334dc0c67,10m 50s,$22.00/hr,$3.98 ,prepay,Minister Bath,pending
4-Jul-25,68673ae3f6ec50757812e1dc,8m 6s,$22.00/hr,$2.98 ,prepay,Minister Bath,pending
4-Jul-25,68673ae8443837410f40baf3,9m 14s,$22.00/hr,$3.39 ,prepay,Minister Bath,pending
4-Jul-25,68673ae3befcc37cb6cd3a6d,24m 43s,$22.00/hr,$9.06 ,prepay,Minister Bath,pending
4-Jul-25,68671e12d7d942555fe1a7f5,24m 49s,$22.00/hr,$9.10 ,prepay,Minister Bath,pending
4-Jul-25,68671dd3a6cf58184120c1cc,9m 37s,$22.00/hr,$3.53 ,prepay,Minister Bath,pending
3-Jul-25,68656d09ed73429e2a10dc60,10m 51s,$22.00/hr,$3.98 ,prepay,Minister Bath,pending
3-Jul-25,68656c7523b18c607bd7b83e,24m 27s,$22.00/hr,$8.97 ,prepay,Minister Bath,pending
3-Jul-25,68656c74dae4882dc7c01a55,8m 8s,$22.00/hr,$2.98 ,prepay,Minister Bath,pending
3-Jul-25,68656c7423b18c607bd7b79d,11m 36s,$22.00/hr,$4.26 ,prepay,Minister Bath,pending
3-Jul-25,68664d70df06ab7853ccc71e,1m 12s,$6.60/hr,$0.13 ,overtimePay,Minister Bath,pending
3-Jul-25,68664d70df06ab7853ccc71e,25m ,$22.00/hr,$9.17 ,prepay,Minister Bath,pending
3-Jul-25,68664c9e5ce64faa5d874778,8m 28s,$22.00/hr,$3.11 ,prepay,Minister Bath,pending
